web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551348399-18643","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Mike Littlefield","... Echo Plus and the Smartthings hub combined has been great. The sound from the speaker is great and ...","January 26, 2018","I have recently jumped into the Home Automation World and using the combination of this Echo Plus and the Smartthings hub combined has been great.  The sound from the speaker is great and with Amazon Unlimited Music it has been a great addition to my home.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_124?ie=UTF8&pageNumber=124&reviewerType=all_reviews"
"1551348475-18892","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Megan Y","Easy setup","December 28, 2017","Super easy set up and great sound quality. I don’t think I will be needing my nose speaker system in my kitchen anymore. The echo plus is easy to use and allows me to control my smart home products quickly. Loving the new skills! Definitely enable some funny ones, your family will be impressed.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_155?ie=UTF8&pageNumber=155&reviewerType=all_reviews"
"1551350832-20776","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jean G.","Four Stars","February 28, 2018","Still learning all of the awesome  things we can do with echo plus!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_390?ie=UTF8&pageNumber=390&reviewerType=all_reviews"
"1551350847-20819","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","J. mansano","Five Stars","January 9, 2018","Love it","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_396?ie=UTF8&pageNumber=396&reviewerType=all_reviews"
"1551348696-19690","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Bob","Best Echo at the time of purchase","January 31, 2018","Best Echo at the time of purchase.  Hopefully Amazon works on Alexa hearing when I call her name AND letting her learn more.  Really getting tired of ""I don't know that one""","3.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_255?ie=UTF8&pageNumber=255&reviewerType=all_reviews"
"1551348574-19252","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Brian Kerber","We needed Music in  our Brand New House!!","August 13, 2018","We like Alexa!! We needed Music and sounds in our new home. We have been having fun with our new toy.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_200?ie=UTF8&pageNumber=200&reviewerType=all_reviews"
"1551348552-19172","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","M. Moore","great alarm","September 18, 2018","It is great to just ask for information.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_190?ie=UTF8&pageNumber=190&reviewerType=all_reviews"
"1551348645-19506","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Christopher","Great for fun, functionality could be greatly improved","December 3, 2017","I actually really like the concept of the product. It is fun just to play around with, but difficult to operate, which I'll go into detail about later. The built-in hub isn't necessary, unless you plan on buying one smart light bulb are a time because the packs come with a hub free (an echo dot is sufficient and cheaper). The speaker quality is great for music and can be increased fairly loud without distortion.

Now for the difficulty with operating. For starters, your echo doesn't have many bells and whistles prepackaged. You have to search skills, which are kind of like apps or lessons to teach Alexa. There are many different skills you can teach Alexa, so make sure you have time to look through them. Now you've taught Alexa skills, but for every skill you must remember how to communicate exactly as instructed on the skill page or Alexa will not understand (e.g. ""Alexa, tell <skill name> to perform such and such task). If you don't remember the phrases to get Alexa to perform the skill you can always look through your app and under skills to find directions. Who will remember all the specific wording for each skill? Plus, the whole point in speaking to Alexa is that it's hands-free, so looking at the app for directions isn't convenient. It gets very frustrating if you don't have the Alexa app handy. Next, if you plan on controlling plugs or lights with Alexa you have to download apps from the manufacturer. Your now cluttered phone is even more cluttered and you don't speak the same language as Alexa. She also has difficulty understanding a lot of questions and you have to rephrase them several times for her to give you any answer.

I love, love, love the functions I can remember the wording for Alexa to perform the task. There are so many things Alexa can do that listing them would make this review entirely too long. I will list my favorites and most useful to me.
Turns on lights or plugs.  Groups lights, traffic report, weather, and many other functions together to be performed with one command (e.g. ""Alexa, good morning"").  Orders pizza.  Tells jokes.  Gives answers to questions you have.  Controls TV.  Sends messages and makes calls.  Adds things to grocery lists.  Sets reminders so you won't forget things.  Adds appointments to your phone or email linked calendar.  Helps kids with homework.  Plays games for adults and kids.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_232?ie=UTF8&pageNumber=232&reviewerType=all_reviews"
"1551348414-18704","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Tim","Decent sound","August 12, 2018","Far better sound quality than Echo and Echo Dot.  Easy setup.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_131?ie=UTF8&pageNumber=131&reviewerType=all_reviews"
"1551350841-20808","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Cathy Valenti","Five Stars","January 25, 2018","Love it","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_394?ie=UTF8&pageNumber=394&reviewerType=all_reviews"
