web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551345010-10463","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Matt","What are you really going to use this for?","December 15, 2018","There is a delay in audio from my iPad to the Echo Show via Bluetooth so when I play video on the iPad, the sound from the Echo Show doesn’t sync with the video. I didn’t have this problem on the original Echo Show. The 2nd gen Echo Show screen is definitely larger and more vibrant.

Overall it’s not that useful unless you are going to watch something directly on it. It has Prime Video, Hulu and for some reason, NBC. Without Netflix, this makes it a light offering. The content (like news stories) it pushes out is rarely relevant to me. If you like following cooking recipes on tv, then this is probably good for the kitchen.

Alexa has all the same problems she has on every other Echo device, most frustratingly she can barely answer questions about what the device can do. Instead she either refers you to a help section that mysteriously isn’t available on the device itself even though it has a screen or she just says something like, “Hm, I don’t know that.” One improvement on Alexa’s shopping skills, particular to this device, is that you can look at the products, though it’s a narrow set.","2.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1551345568-12322","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","the customer","The camera is it on or off security you know.","December 28, 2018","Haven't used it enough so far so good","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_244?ie=UTF8&pageNumber=244&reviewerType=all_reviews"
"1551345585-12389","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Yvonne Moran","Awesome","January 14, 2019","Love it","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_252?ie=UTF8&pageNumber=252&reviewerType=all_reviews"
"1551345470-11985","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","debora l woelky","Great sound","December 9, 2018","Just can’t get it to link up with a blue tooth speaker I have.  But the sound on this is amazing","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_202?ie=UTF8&pageNumber=202&reviewerType=all_reviews"
"1551345391-11737","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Camera angle","February 15, 2019","Love the show only wish the camera angle could change. Got it so that we could drop in on our elder parent but the camera angle makes it difficult. Basically, tired of looking at the ceiling. Fix camera. Ceiling nice but seeing elder parent would be nicer.","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_171?ie=UTF8&pageNumber=171&reviewerType=all_reviews"
"1551344987-10383","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","WI Doorbell","Stop senseless updates.  I lose more than I gain on most of them.","November 4, 2018","Very disappointed with 2nd generation Show.  Most home screen options were removed.  Can’t customize clock anymore.  Constant “Try this” on bottom of screen is senseless.  Can’t display personal recipes.  You must use Allrecipes or Food network.  Not as responsive as Echo.  I have two Echos, one Dot.  Love them.  The Echo Show?  Not so much.  The constant updates that change the menus and choices on the entire Echo lineup is becoming tiresome.  It appears as if someone at Amazon is trying to justify their jobs.","1.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1551345292-11419","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","mrdunn","big screen","December 10, 2018","better sound, I have several Echos, including the older Echo Show.  This a much nicer, large screen and better sound.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_131?ie=UTF8&pageNumber=131&reviewerType=all_reviews"
"1551345495-12076","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Tom R","This is what the show should have been from the start","December 16, 2018","Software still a bit slow, but the sound and screen improvement make up for the shortcomings","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_213?ie=UTF8&pageNumber=213&reviewerType=all_reviews"
"1551345106-10770","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","sudeep","10 times better then previuos echow show.","October 15, 2018","Screen is good.sound is better. Browser in place is very useful.Dont forget to order stand since the screen is aligned low stand is very useful.","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_50?ie=UTF8&pageNumber=50&reviewerType=all_reviews"
"1551345542-12228","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","JFC","Great Long Distance Connector","January 26, 2019","Love the picture, love the sound quality. Only thing it needs is the ability to swivel.","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_232?ie=UTF8&pageNumber=232&reviewerType=all_reviews"
